line|word_count
online|4
"me?"""|1
still|44
some|41
hope|5
cautious|2
those|5
harder|5
fog|2
few|12
lieutenant|1
office?|1
antennae|1
inner|1
tortured|1
slightly|8
conversation|7
conclusions|2
often|16
taking|9
photograph|1
staff|2
filled|5
worked|2
received|7
construed|1
smelling|1
combed|1
bone|1
dustbins|1
hurry|3
laboriously|1
"again!"""|1
noticing|1
include|1
distributor|1
arches|1
explain|2
afterwards|2
vegetables|2
cook|1
watch|2
"""come"|4
character|1
shut|9
impatiently|1
duties|1
nearest|1
slow|5
approached|1
prevent|2
flowers|1
forks|1
dishes|1
"notice"""|1
countries|1
gutenberg:|1
disclaimer|3
obsolete|1
fairbanks|1
ready|4
furniturerattling|1
circumstances|2
locked?|1
leave|10
wall|5
awoke|1
broom|5
wink|1
expression|2
wiped|1
unlink|1
periodic|1
1500|1
used|23
day|28
begun|1
worried|2
insistent|2
among|1
leant|8
lips|2
subject|2
sense|1
nightgown|2
piled|1
preoccupied|1
"""tonight"|1
even|82
unclear|1
raised|5
happen|5
"considerations"""|1
"""hes"|3
pride|2
dropped|1
briefly|4
introduction|1
displacing|1
5200hhtm|1
production|1
got|21
did|72
whether|10
earlier|7
army|1
landed|3
space|2
throughout|3
attempted|1
ahead|2
http://pglaforg/donate|1
slept|2
lazy|1
two|27
froze|2
highly|4
us|12
pockets|4
dryeyed|1
meat|2
repugnant|1
(available|1
copied|2
returns|1
expend|1
financial|1
anyone|13
present|8
strenuous|1
instance|2
remembered|3
hit|4
holding|5
lack|4
scream|1
unlocked|1
unusual|1
spin|1
critical|1
2012|1
father|94
senses|1
fancy|1
imaginable|1
strangers|2
"there!"""|1
halt|1
joined|1
purpose|3
tray|1
recognised|1
shuffled|1
occurred|3
"moment"""|1
overview|2
engrossed|1
consisting|1
selfreproach|1
act|1
continually|1
moments|1
wrote|1
practically|1
implied|2
salesmen|3
understanding|3
explaining|3
yourself|2
speaking|5
shame|2
within|5
fond|3
helping|2
leather|2
disappear|2
separated|1
favour|1
"""project"|5
requirements|4
lieu|2
[ebook|1
set|21
could|120
him|186
magazine|1
always|18
entirely|4
trying|4
length|1
"""he"|3
losing|1
stubbornness|2
contracts|1
throwing|1
sucking|1
becoming|4
bucketfuls|1
toward|2
knives|1
perfect|1
necklace|1
discovery|1
theyd|1
men|1
progress|1
promise|1
vanilla|2
demand|1
debt|3
office|7
case?|1
traveller|1
greatest|3
hungry|2
glimpsed|1
joy|1
inch|1
"""just"|3
thunder|1
"wrong"""|1
excusal|1
